player,season,age,altura,partidos,minutos,puntos,rebotes,asistencias,robos,bloqueos,perdidas,triples_anotados,intentos_tiro,eficiencia,uso,tiro_verdadero,box_plus_minus,team_2TM,team_3TM,team_4TM,team_ATL,team_BOS,team_BRK,team_CHI,team_CHO,team_CLE,team_DAL,team_DEN,team_DET,team_GSW,team_HOU,team_IND,team_LAC,team_LAL,team_MEM,team_MIA,team_MIL,team_MIN,team_NOP,team_NYK,team_OKC,team_ORL,team_PHI,team_PHO,team_POR,team_SAC,team_SAS,team_TOR,team_UTA,team_WAS,pos_C,pos_PF,pos_PG,pos_SF,pos_SG
Buddy Hield,2024,31,76,84,25.7,12.1,3.2,2.8,0.8,0.5,1.2,2.6,10.1,13.1,18.6,0.586,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mikal Bridges,2023,26,78,83,35.7,20.1,4.4,3.3,1.1,0.7,1.5,2.0,15.3,21.3,30.3,0.607,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patrick Patterson,2018,28,80,82,15.5,3.9,2.4,0.7,0.6,0.3,0.4,0.8,3.2,10.0,10.8,0.555,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Julius Randle,2018,23,81,82,26.7,16.1,8.0,2.6,0.5,0.5,2.6,0.1,11.0,19.9,25.3,0.606,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ish Smith,2018,29,72,82,24.9,10.9,2.7,4.4,0.8,0.2,1.3,0.4,9.8,15.4,20.8,0.525,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jakob Poeltl,2018,22,84,82,18.6,6.9,4.8,0.7,0.5,1.2,1.0,0.0,4.7,17.5,14.8,0.662,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Bam Adebayo,2019,21,81,82,23.3,8.9,7.3,2.2,0.9,0.8,1.5,0.0,5.9,17.9,15.8,0.623,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DeAndre' Bembry,2019,24,77,82,23.5,8.4,4.4,2.5,1.3,0.5,1.7,0.6,7.5,10.8,17.2,0.508,-2.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bub Carrington,2025,19,76,82,30.0,9.8,4.2,4.4,0.7,0.3,1.7,1.7,9.1,9.0,15.8,0.514,-4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Julian Champagnie,2025,23,80,82,23.6,9.9,3.9,1.4,0.7,0.4,0.9,2.2,8.1,12.2,17.2,0.577,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Bradley Beal,2019,25,76,82,36.9,25.6,5.0,5.5,1.5,0.7,2.7,2.5,19.6,20.8,28.4,0.581,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Dragan Bender,2018,20,84,82,25.2,6.5,4.4,1.6,0.3,0.6,1.4,1.4,5.9,7.1,12.7,0.524,-3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Mikal Bridges,2025,28,78,82,37.0,17.6,3.2,3.7,0.9,0.5,1.6,2.0,14.4,14.0,19.6,0.585,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jaden McDaniels,2025,24,81,82,31.9,12.2,5.7,2.0,1.3,0.9,1.2,1.2,10.2,13.3,16.3,0.562,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jalen Green,2025,22,76,82,32.9,21.0,4.6,3.4,0.9,0.3,2.5,2.9,17.5,15.1,27.3,0.544,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lance Stephenson,2018,27,78,82,22.6,9.2,5.2,2.9,0.6,0.2,1.6,0.8,8.6,12.4,21.6,0.495,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P.J. Tucker,2018,32,77,82,27.8,6.1,5.6,0.9,1.0,0.3,0.9,1.4,5.4,8.3,10.5,0.537,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Karl-Anthony Towns,2018,22,84,82,35.6,21.3,12.3,2.4,0.8,1.4,1.9,1.5,14.3,24.9,22.9,0.646,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kevon Looney,2023,26,81,82,23.9,7.0,9.3,2.5,0.6,0.6,0.5,0.0,4.7,17.8,10.6,0.639,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jarrett Allen,2025,26,83,82,28.0,13.5,9.7,1.9,0.9,0.9,1.2,0.0,7.8,22.1,15.9,0.724,4.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nickeil Alexander-Walker,2025,26,77,82,25.3,9.4,3.2,2.7,0.6,0.4,1.2,1.7,7.5,11.6,16.0,0.579,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bismack Biyombo,2018,25,80,82,18.2,5.7,5.7,0.8,0.3,1.2,1.0,0.0,4.3,14.1,14.9,0.556,-2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Dwight Powell,2022,30,82,82,21.9,8.7,4.9,1.2,0.5,0.5,0.8,0.2,4.9,18.1,14.0,0.725,0.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Harrison Barnes,2023,30,80,82,32.5,15.0,4.5,1.6,0.7,0.1,1.0,1.6,9.6,14.1,17.1,0.632,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Kevon Looney,2022,25,81,82,21.1,6.0,7.3,2.0,0.6,0.6,0.8,0.0,4.4,15.7,12.2,0.586,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Harrison Barnes,2025,32,80,82,27.2,12.3,3.8,1.7,0.5,0.2,0.6,1.9,8.3,14.9,15.7,0.656,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
KJ Martin,2023,22,78,82,28.0,12.7,5.5,1.5,0.5,0.4,1.1,0.8,8.8,15.4,16.4,0.635,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jonas Valančiūnas,2024,31,83,82,23.5,12.2,8.8,2.1,0.4,0.8,1.4,0.5,8.8,19.8,20.8,0.619,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cason Wallace,2024,20,76,82,20.6,6.8,2.3,1.5,0.9,0.5,0.5,1.2,5.4,12.0,12.9,0.612,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jordan Poole,2023,23,76,82,30.0,20.4,2.7,4.5,0.8,0.3,3.1,2.6,15.6,14.6,29.2,0.573,-1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kentavious Caldwell-Pope,2019,25,77,82,24.8,11.4,2.9,1.3,0.9,0.2,0.8,1.8,9.2,12.9,18.1,0.568,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bryn Forbes,2019,25,74,82,28.0,11.8,2.9,2.1,0.5,0.0,1.0,2.1,9.6,12.0,17.4,0.586,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mikal Bridges,2019,22,78,82,29.5,8.3,3.2,2.1,1.6,0.5,0.9,1.3,6.9,10.8,12.2,0.556,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Monte Morris,2019,23,74,82,24.0,10.4,2.4,3.6,0.9,0.0,0.6,1.1,8.6,16.2,17.1,0.577,1.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Justin Holiday,2019,29,78,82,31.8,10.5,3.9,1.8,1.5,0.4,1.3,2.0,9.5,10.0,15.7,0.52,-1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Reggie Jackson,2019,28,74,82,27.9,15.4,2.6,4.2,0.7,0.1,1.8,2.1,12.8,15.2,24.5,0.547,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Reggie Jackson,2024,33,74,82,22.2,10.2,1.9,3.8,0.5,0.2,1.3,1.2,9.2,11.7,21.7,0.521,-3.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chet Holmgren,2024,21,85,82,29.4,16.5,7.9,2.4,0.6,2.3,1.6,1.6,11.6,20.4,21.6,0.632,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
